CntyName,DistName,Total SAT Score,COMMTYPE,Graduation Rate
Panola County,Carthage ISD,1077,Other Central City Suburban,83.7
Panola County,Gary ISD,813,Non-metropolitan Stable,94.8
Parker County,Poolville ISD,922,Other Central City Suburban,93.9
Parker County,Springtown ISD,945,Other Central City Suburban,100.0
Parker County,Weatherford ISD,1000,Non-metropolitan Stable,96.7
Parker County,Millsap ISD,867,Rural,100.0
Parker County,Aledo ISD,1091,Rural,92.8
Parker County,Peaster ISD,1076,Rural,100.0
Parker County,Brock ISD,1048,Rural,100.0
Parmer County,Farwell ISD,NAN,Non-metropolitan Stable,97.5
Parmer County,Friona ISD,1080,Other Central City Suburban,100.0
Pecos County,Buena Vista ISD,936,Non-metropolitan Stable,94.5
Pecos County,Fort Stockton ISD,854,Other Central City Suburban,91.7
Pecos County,Iraan-Sheffield ISD,998,Independent Town,91.7
Polk County,Big Sandy ISD,853,Rural,94.9
Polk County,Goodrich ISD,870,Rural,100.0
Polk County,Corrigan-Camden ISD,864,Independent Town,90.3
Polk County,Leggett ISD,659,Rural,100.0
Polk County,Livingston ISD,906,Rural,100.0
Polk County,Onalaska ISD,943,Rural,35.7
Potter County,Amarillo ISD,865,Rural,100.0
Potter County,River Road ISD,1015,Non-metropolitan Stable,96.5
Potter County,Highland Park ISD,959,Rural,94.1
Potter County,Bushland ISD,1049,Rural,87.8
Presidio County,Marfa ISD,NAN,Other Central City Suburban,90.6
Presidio County,Presidio ISD,793,Other Central City,86.6
Rains County,Rains ISD,1029,Other Central City Suburban,98.7
Randall County,Canyon ISD,1035,Major Suburban,97.3
Reagan County,Reagan County ISD,1045,Other Central City Suburban,93.8
Real County,Big Springs Charter School,NAN,Other Central City Suburban,91.0
Real County,Leakey ISD,1160,Rural,91.1
Red River County,Rivercrest ISD,964,Rural,100.0
Red River County,Clarksville ISD,NAN,Rural,100.0
Red River County,Detroit ISD,NAN,Non-metropolitan Stable,100.0
Reeves County,Pecos-Barstow-Toyah ISD,839,Rural,90.5
Reeves County,Balmorhea ISD,935,Rural,95.9
Refugio County,Austwell-Tivoli ISD,1003,Non-metropolitan Stable,87.1
Refugio County,Woodsboro ISD,1010,Rural,91.0
Refugio County,Refugio ISD,990,Rural,95.9
Robertson County,Bremond ISD,907,Rural,100.0
Robertson County,Franklin ISD,965,Non-metropolitan Stable,100.0
Robertson County,Hearne ISD,795,Rural,94.6
Robertson County,Mumford ISD,1036,Independent Town,97.2
Rockwall County,Rockwall ISD,1052,Non-metropolitan Stable,92.3
Rockwall County,Royse City ISD,949,Other Central City,93.5
Runnels County,Ballinger ISD,1060,Other Central City Suburban,100.0
Runnels County,Miles ISD,1080,Rural,86.1
Runnels County,Winters ISD,904,Other Central City Suburban,88.9
Rusk County,Henderson ISD,1013,Rural,77.1
Rusk County,Overton ISD,837,Non-metropolitan Stable,100.0
Rusk County,Tatum ISD,919,Non-metropolitan Stable,93.1
Rusk County,Carlisle ISD,969,Other Central City,99.0
Rusk County,West Rusk County Consolidated ISD,874,Other Central City Suburban,100.0
Sabine County,Hemphill ISD,1046,Rural,97.9
Sabine County,West Sabine ISD,789,Rural,98.2
San Augustine County,San Augustine ISD,864,Rural,98.9
San Augustine County,Broaddus ISD,927,Rural,100.0
San Jacinto County,Coldspring-Oakhurst CISD,884,Rural,92.5
San Jacinto County,Shepherd ISD,929,Non-metropolitan Stable,100.0
San Patricio County,Aransas Pass ISD,912,Rural,100.0
San Patricio County,Gregory-Portland ISD,988,Rural,100.0
San Patricio County,Ingleside ISD,862,Rural,93.8
San Patricio County,Mathis ISD,895,Rural,93.5
San Patricio County,Odem-Edroy ISD,927,Rural,97.4
San Patricio County,Sinton ISD,886,Rural,100.0
San Patricio County,Taft ISD,990,Rural,94.4
San Saba County,San Saba ISD,993,Other Central City Suburban,91.7
San Saba County,Richland Springs ISD,955,Other Central City Suburban,90.1
San Saba County,Cherokee ISD,1005,Rural,95.1
Schleicher County,Schleicher ISD,915,Other Central City Suburban,92.8
Scurry County,Snyder ISD,792,Other Central City Suburban,97.7
Shackelford County,Albany ISD,972,Non-metropolitan Stable,100.0
Shackelford County,Moran ISD,1003,Rural,100.0
Shelby County,Center ISD,883,Rural,92.0
Shelby County,Tenaha ISD,812,Rural,94.1
Smith County,Arp ISD,988,Independent Town,92.0
Smith County,Bullard ISD,992,Rural,97.2
Smith County,Lindale ISD,1000,Rural,97.1
Smith County,Troup ISD,990,Rural,50.0
Smith County,Tyler ISD,944,Rural,86.7
Smith County,Whitehouse ISD,1021,Other Central City Suburban,100.0
Smith County,Chapel Hill ISD,852,Rural,100.0
Smith County,Winona ISD,840,Non-metropolitan Stable,97.3
Somervell County,Brazos River Charter School,840,Non-metropolitan Stable,92.7
Somervell County,Glen Rose ISD,1003,Rural,96.4
Starr County,Rio Grande City CISD,860,Rural,100.0
Starr County,San Isidro ISD,NAN,Rural,100.0
Starr County,Roma ISD,1025,Independent Town,100.0
Stephens County,Breckenridge ISD,946,Independent Town,93.4
Sutton County,Sonora ISD,920,Other Central City Suburban,100.0
Swisher County,Tulia ISD,1113,Other Central City Suburban,100.0
Tarrant County,The Oakridge School,1203,Other Central City Suburban,93.3
Tarrant County,Gateway School,NAN,Non-metropolitan Stable,94.9
Tarrant County,Treetops School International,1087,Non-metropolitan Stable,97.9
Tarrant County,Fort Worth Academy Of Fine Arts,1084,Independent Town,100.0
Tarrant County,Westlake Academy Charter School,1164,Other Central City Suburban,97.3
Tarrant County,Uplift Education-Summit Internatio,1022,Rural,94.0
Tarrant County,Newman International Academy Of Ar,905,Rural,98.7
Tarrant County,Prime Prep Academy,765,Rural,100.0
Tarrant County,Arlington ISD,949,Rural,97.1
Tarrant County,Birdville ISD,985,Rural,95.5
Tarrant County,Everman ISD,829,Non-metropolitan Stable,87.5
Tarrant County,Fort Worth ISD,821,Rural,100.0
Tarrant County,Grapevine-Colleyville ISD,1102,Rural,96.2
Tarrant County,Keller ISD,1037,Rural,88.6
Tarrant County,Mansfield ISD,983,Non-metropolitan Stable,89.3
Tarrant County,Lake Worth ISD,877,Rural,98.2
Tarrant County,Crowley ISD,898,Rural,98.4
Tarrant County,Kennedale ISD,961,Rural,89.3
Tarrant County,Azle ISD,970,Rural,96.2
Tarrant County,Hurst-Euless-Bedford ISD,1008,Rural,95.7
Tarrant County,Castleberry ISD,886,Rural,97.0
Tarrant County,Eagle Mt-Saginaw ISD,978,Rural,97.2
Tarrant County,Carroll ISD,1187,Rural,84.7
Tarrant County,White Settlement ISD,925,Other Central City Suburban,93.0
Taylor County,Texas College Preparatory Academie,1052,Other Central City Suburban,93.3
Taylor County,Abilene ISD,963,Non-metropolitan Stable,95.6
Taylor County,Merkel ISD,946,Other Central City,87.4
Taylor County,Jim Ned CISD,1044,Other Central City Suburban,100.0
Taylor County,Wylie ISD,1084,Other Central City Suburban,96.9
Terrell County,Terrell County ISD,NAN,Other Central City Suburban,92.9
Terry County,Brownfield ISD,794,Non-metropolitan Stable,100.0
Terry County,Meadow ISD,960,Other Central City Suburban,100.0
Terry County,Wellman-Union CISD,957,Rural,90.0
Throckmorton County,Throckmorton ISD,923,Independent Town,97.7
Titus County,Mount Pleasant ISD,882,Non-metropolitan Stable,100.0
Titus County,Chapel Hill ISD,993,Non-metropolitan Fast Growing,93.4
Tom Green County,Texas Leadership,1018,Rural,100.0
Tom Green County,Christoval ISD,1107,Non-metropolitan Stable,94.4
Tom Green County,San Angelo ISD,977,Rural,80.0
Tom Green County,Water Valley ISD,1023,Non-metropolitan Stable,90.4
Tom Green County,Wall ISD,1042,Rural,93.5
Tom Green County,Grape Creek ISD,899,Major Urban,100.0
Tom Green County,Veribest ISD,1002,Major Suburban,97.0
Travis County,University Of Texas At Austin H S,1118,Major Suburban,100.0
Travis County,Nyos Charter School,1045,Major Urban,95.8
Travis County,University Of Texas University Cha,990,Major Suburban,94.8
Travis County,Chaparral Star Academy,1151,Major Suburban,97.7
Travis County,Harmony Science Academy (Austin),976,Major Suburban,97.8
Travis County,Kipp Austin Public Schools Inc,NAN,Major Suburban,97.3
Travis County,Austin ISD,1025,Major Suburban,89.9
Travis County,Pflugerville ISD,959,Major Suburban,95.2
Travis County,Manor ISD,839,Major Suburban,87.3
Travis County,Eanes ISD,1210,Major Suburban,88.7
Travis County,Del Valle ISD,877,Major Suburban,70.6
Travis County,Lago Vista ISD,1049,Major Suburban,98.3
Travis County,Lake Travis ISD,1107,Major Suburban,95.7
Trinity County,Groveton ISD,961,Major Suburban,100.0
Trinity County,Trinity ISD,838,Other Central City,89.3
Trinity County,Centerville ISD,968,Other Central City Suburban,91.9
Trinity County,Apple Springs ISD,907,Rural,95.2
Tyler County,Colmesneil ISD,964,Non-metropolitan Stable,95.7
Tyler County,Woodville ISD,912,Other Central City Suburban,95.0
Tyler County,Warren ISD,960,Rural,94.4
Tyler County,Spurger ISD,996,Non-metropolitan Stable,85.1
Tyler County,Chester ISD,NAN,Rural,100.0
Upshur County,Big Sandy ISD,981,Rural,87.5
Upshur County,Gilmer ISD,891,Rural,100.0
Upshur County,Ore City ISD,1057,Rural,98.4
Upshur County,Union Hill ISD,NAN,Independent Town,84.1
Upshur County,Harmony ISD,954,Rural,92.2
Upshur County,New Diana ISD,959,Non-metropolitan Stable,92.5
Upshur County,Union Grove ISD,947,Non-metropolitan Fast Growing,85.1
Upton County,Rankin ISD,1055,Rural,97.0
Uvalde County,Knippa ISD,1038,Other Central City,96.0
Uvalde County,Sabinal ISD,870,Rural,94.5
Uvalde County,Uvalde CISD,843,Other Central City Suburban,97.5
Uvalde County,Utopia ISD,994,Other Central City Suburban,93.7
Val Verde County,San Felipe-Del Rio CISD,921,Rural,94.7
Val Verde County,Comstock ISD,1084,Major Urban,96.4
Van Zandt County,Ranch Academy,958,Major Suburban,95.9
Van Zandt County,Canton ISD,1034,Major Suburban,92.9
Van Zandt County,Edgewood ISD,975,Major Suburban,95.1
Van Zandt County,Grand Saline ISD,927,Major Suburban,99.0
Van Zandt County,Martins Mill ISD,1027,Non-metropolitan Stable,92.7
Van Zandt County,Van ISD,987,Major Suburban,62.6
Van Zandt County,Wills Point ISD,991,Rural,95.6
Van Zandt County,Fruitvale ISD,NAN,Non-metropolitan Stable,88.5
Victoria County,Bloomington ISD,864,Rural,100.0
Victoria County,Victoria ISD,943,Rural,97.7
Walker County,Raven School,953,Rural,98.3
Walker County,New Waverly ISD,902,Non-metropolitan Stable,90.0
Walker County,Huntsville ISD,942,Non-metropolitan Stable,91.4
Waller County,Hempstead ISD,790,Rural,100.0
Waller County,Waller ISD,929,Rural,100.0
Waller County,Royal ISD,797,Rural,92.3
Ward County,Monahans-Wickett-Pyote ISD,1030,Other Central City Suburban,100.0
Ward County,Grandfalls-Royalty ISD,900,Non-metropolitan Stable,99.1
Washington County,Brenham ISD,1016,Rural,90.8
Washington County,Burton ISD,958,Independent Town,100.0
Webb County,Texas A&M International University,1020,Other Central City Suburban,100.0
Webb County,Gateway Academy Charter District,748,Rural,92.1
Webb County,Laredo ISD,817,Rural,88.5
Webb County,United ISD,894,Rural,97.4
Webb County,Webb CISD,861,Non-metropolitan Fast Growing,94.9
Wharton County,Boling ISD,1018,Rural,95.2
Wharton County,East Bernard ISD,1007,Independent Town,98.0
Wharton County,El Campo ISD,942,Rural,32.1
Wharton County,Wharton ISD,960,Independent Town,93.8
Wharton County,Louise ISD,890,Rural,98.0
Wheeler County,Kelton ISD,NAN,Independent Town,92.5
Wichita County,Bright Ideas Charter,768,Non-metropolitan Stable,93.6
Wichita County,Burkburnett ISD,1023,Non-metropolitan Stable,97.3
Wichita County,Electra ISD,863,Rural,90.8
Wichita County,Iowa Park CISD,1009,Other Central City Suburban,98.0
Wichita County,Wichita Falls ISD,971,Other Central City Suburban,92.2
Wichita County,City View ISD,941,Rural,92.4
Wilbarger County,Vernon ISD,1039,Non-metropolitan Stable,94.6
Willacy County,Lasara ISD,917,Independent Town,89.6
Willacy County,Lyford CISD,901,Rural,88.9
Willacy County,Raymondville ISD,795,Non-metropolitan Stable,100.0
Willacy County,San Perlita ISD,842,Independent Town,100.0
Williamson County,Meridian World School Llc,NAN,Non-metropolitan Stable,90.6
Williamson County,Florence ISD,967,Independent Town,93.8
Williamson County,Georgetown ISD,1047,Other Central City Suburban,90.4
Williamson County,Granger ISD,978,Other Central City Suburban,96.0
Williamson County,Hutto ISD,940,Rural,100.0
Williamson County,Jarrell ISD,1012,Independent Town,95.3
Williamson County,Liberty Hill ISD,1041,Rural,96.4
Williamson County,Round Rock ISD,1090,Other Central City Suburban,95.3
Williamson County,Taylor ISD,945,Other Central City,88.9
Williamson County,Thrall ISD,926,Rural,98.6
Williamson County,Leander ISD,1087,Other Central City Suburban,97.0
Wilson County,Floresville ISD,992,Other Central City Suburban,97.7
Wilson County,La Vernia ISD,978,Independent Town,94.1
Wilson County,Poth ISD,935,Non-metropolitan Stable,100.0
Wilson County,Stockdale ISD,884,Rural,90.9
Wise County,Alvord ISD,974,Non-metropolitan Fast Growing,90.2
Wise County,Boyd ISD,934,Rural,77.7
Wise County,Bridgeport ISD,955,Rural,100.0
Wise County,Chico ISD,894,Rural,86.5
Wise County,Decatur ISD,979,Other Central City Suburban,100.0
Wise County,Paradise ISD,984,Rural,61.7
Wise County,Slidell ISD,995,Other Central City Suburban,99.2
Wood County,Hawkins ISD,876,Other Central City,96.9
Wood County,Mineola ISD,920,Other Central City Suburban,86.3
Wood County,Quitman ISD,968,Rural,100.0
Wood County,Yantis ISD,983,Non-metropolitan Stable,97.8
Wood County,Alba-Golden ISD,912,Rural,94.7
Wood County,Winnsboro ISD,1075,Rural,96.8
Yoakum County,Denver City ISD,865,Non-metropolitan Stable,85.5
Yoakum County,Plains ISD,1193,Other Central City Suburban,85.2
Young County,Graham ISD,1003,Rural,11.3
Young County,Newcastle ISD,NAN,Non-metropolitan Stable,96.8
Zapata County,Zapata County ISD,917,Other Central City,86.8
Zavala County,Crystal City ISD,926,Rural,90.6
Zavala County,La Pryor ISD,670,Other Central City Suburban,97.4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,