CntyName,DistName,Total SAT Score,COMMTYPE,Graduation Rate,Median Income by County
Anderson County,Cayuga ISD,946,Rural,93.5,"$43,967 "
Anderson County,Elkhart ISD,943,Non-metropolitan Stable,98.6,"$43,967 "
Anderson County,Frankston ISD,845,Rural,100,"$43,967 "
Anderson County,Neches ISD,1107,Rural,94.3,"$43,967 "
Anderson County,Palestine ISD,895,Independent Town,89.2,"$43,967 "
Anderson County,Westwood ISD,907,Non-metropolitan Stable,95.3,"$43,967 "
Anderson County,Slocum ISD,1048,Rural,100,"$43,967 "
Andrews County,Andrews ISD,977,Other Central City Suburban,95.8,"$60,644 "
Angelina County,Pineywoods Community Academy,984,Non-metropolitan Stable,100,"$43,658 "
Angelina County,Hudson ISD,994,Independent Town,93.7,"$43,658 "
Angelina County,Lufkin ISD,952,Non-metropolitan Stable,92.5,"$43,658 "
Angelina County,Huntington ISD,953,Non-metropolitan Stable,93.2,"$43,658 "
Angelina County,Diboll ISD,880,Rural,96.9,"$43,658 "
Angelina County,Zavalla ISD,945,Non-metropolitan Stable,96.8,"$43,658 "
Angelina County,Central ISD,985,Independent Town,95.5,"$43,658 "
Aransas County,Aransas County ISD,946,Rural,88.5,"$44,866 "
Archer County,Archer City ISD,1012,Other Central City Suburban,100,"$58,928 "
Archer County,Holliday ISD,1039,Rural,100,"$58,928 "
Archer County,Windthorst ISD,1000,Rural,97.8,"$58,928 "
Armstrong County,Claude ISD,945,Rural,100,"$54,868 "
Atascosa County,Charlotte ISD,823,Non-metropolitan Fast Growing,86.7,"$53,622 "
Atascosa County,Jourdanton ISD,952,Non-metropolitan Stable,94.5,"$53,622 "
Atascosa County,Lytle ISD,894,Independent Town,91.2,"$53,622 "
Atascosa County,Pleasanton ISD,915,Non-metropolitan Stable,98.4,"$53,622 "
Atascosa County,Poteet ISD,896,Independent Town,92,"$53,622 "
Austin County,Bellville ISD,1022,Other Central City Suburban,97.8,"$55,973 "
Austin County,Sealy ISD,983,Rural,92.4,"$55,973 "
Austin County,Brazos ISD,893,Non-metropolitan Stable,95.1,"$55,973 "
Bailey County,Muleshoe ISD,980,Rural,98.8,"$40,536 "
Bandera County,Medina ISD,1044,Major Suburban,96.6,"$55,885 "
Bandera County,Bandera ISD,1026,Independent Town,94.4,"$55,885 "
Bastrop County,Bastrop ISD,927,Non-metropolitan Stable,93.7,"$56,449 "
Bastrop County,Elgin ISD,900,Non-metropolitan Stable,94.2,"$56,449 "
Bastrop County,Smithville ISD,960,Rural,96.3,"$56,449 "
Baylor County,Seymour ISD,NAN,Rural,95,"$36,616 "
Bee County,Beeville ISD,923,Independent Town,90.7,"$40,753 "
Bee County,Pettus ISD,903,Non-metropolitan Fast Growing,83.9,"$40,753 "
Bee County,Skidmore-Tynan ISD,983,Rural,93.5,"$40,753 "
Bell County,Richard Milburn Alter High School,849,Rural,35.5,"$51,993 "
Bell County,Priority Charter Schools,980,Non-metropolitan Fast Growing,90.3,"$51,993 "
Bell County,Orenda Charter School,998,Rural,96.1,"$51,993 "
Bell County,Academy ISD,1050,Other Central City Suburban,96.3,"$51,993 "
Bell County,Bartlett ISD,NAN,Rural,90.5,"$51,993 "
Bell County,Belton ISD,988,Other Central City,98.5,"$51,993 "
Bell County,Holland ISD,968,Non-metropolitan Stable,100,"$51,993 "
Bell County,Killeen ISD,939,Other Central City Suburban,88.3,"$51,993 "
Bell County,Rogers ISD,992,Other Central City Suburban,100,"$51,993 "
Bell County,Salado ISD,1019,Non-metropolitan Stable,99.1,"$51,993 "
Bell County,Temple ISD,972,Major Suburban,88.5,"$51,993 "
Bell County,Troy ISD,936,Major Suburban,98.1,"$51,993 "
Bexar County,Por Vida Academy,900,Major Suburban,43,"$53,170 "
Bexar County,George Gervin Academy,NAN,Non-metropolitan Stable,96,"$53,170 "
Bexar County,Higgs Carter King Gifted & Talente,655,Major Urban,100,"$53,170 "
Bexar County,School Of Excellence In Education,788,Major Suburban,93.8,"$53,170 "
Bexar County,Southwest Preparatory School,909,Non-metropolitan Stable,18.9,"$53,170 "
Bexar County,Radiance Academy Of Learning,930,Major Urban,100,"$53,170 "
Bexar County,Academy Of Careers And Technologie,873,Major Suburban,67.9,"$53,170 "
Bexar County,Shekinah Radiance Academy,NAN,Major Suburban,92.9,"$53,170 "
Bexar County,San Antonio School For Inquiry & C,930,Non-metropolitan Stable,99.1,"$53,170 "
Bexar County,Jubilee Academic Center,792,Non-metropolitan Stable,93.8,"$53,170 "
Bexar County,Kipp San Antonio,871,Major Urban,98.3,"$53,170 "
Bexar County,School Of Science And Technology,1040,Major Suburban,95.5,"$53,170 "
Bexar County,Harmony Science Acad (San Antonio),977,Major Suburban,100,"$53,170 "
Bexar County,Brooks Academy Of Science And Engi,930,Rural,92.1,"$53,170 "
Bexar County,School Of Science And Technology D,1005,Non-metropolitan Stable,96.3,"$53,170 "
Bexar County,City Center Health Careers,728,Rural,92.3,"$53,170 "
Bexar County,Henry Ford Academy Alameda School,840,Non-metropolitan Stable,83.6,"$53,170 "
Bexar County,Alamo Heights ISD,1100,Rural,98.3,"$53,170 "
Bexar County,Harlandale ISD,760,Rural,82.6,"$53,170 "
Bexar County,Edgewood ISD,797,Rural,88.4,"$53,170 "
Bexar County,Randolph Field ISD,1038,Rural,92.9,"$53,170 "
Bexar County,San Antonio ISD,803,Rural,91.6,"$53,170 "
Bexar County,South San Antonio ISD,847,Rural,93.8,"$53,170 "
Bexar County,Somerset ISD,829,Rural,92.3,"$53,170 "
Bexar County,North East ISD,1016,Rural,97.2,"$53,170 "
Bexar County,East Central ISD,914,Rural,100,"$53,170 "
Bexar County,Southwest ISD,766,Rural,95.4,"$53,170 "
Bexar County,Lackland ISD,1033,Non-metropolitan Stable,87.7,"$53,170 "
Bexar County,Ft Sam Houston ISD,990,Non-metropolitan Stable,92.5,"$53,170 "
Bexar County,Northside ISD,974,Independent Town,94.6,"$53,170 "
Bexar County,Judson ISD,852,Non-metropolitan Stable,98.5,"$53,170 "
Bexar County,Southside ISD,783,Rural,100,"$53,170 "
Blanco County,Johnson City ISD,958,Rural,98.4,"$57,634 "
Blanco County,Blanco ISD,965,Rural,97.1,"$57,634 "
Bosque County,Clifton ISD,1012,Non-metropolitan Stable,100,"$47,636 "
Bosque County,Meridian ISD,934,Rural,97.7,"$47,636 "
Bosque County,Morgan ISD,800,Rural,100,"$47,636 "
Bosque County,Valley Mills ISD,888,Major Suburban,100,"$47,636 "
Bosque County,Walnut Springs ISD,1005,Other Central City Suburban,92.9,"$47,636 "
Bosque County,Iredell ISD,931,Rural,80,"$47,636 "
Bosque County,Kopperl ISD,933,Other Central City,94.9,"$47,636 "
Bosque County,Cranfills Gap ISD,957,Other Central City Suburban,98.5,"$47,636 "
Bowie County,Dekalb ISD,1160,Other Central City Suburban,97.5,"$45,455 "
Bowie County,Maud ISD,NAN,Major Suburban,93.5,"$45,455 "
Bowie County,New Boston ISD,1147,Rural,100,"$45,455 "
Bowie County,Redwater ISD,1295,Other Central City,92.6,"$45,455 "
Bowie County,Texarkana ISD,1040,Other Central City,94,"$45,455 "
Bowie County,Liberty-Eylau ISD,930,Non-metropolitan Stable,95.2,"$45,455 "
Bowie County,Pleasant Grove ISD,1203,Rural,98.6,"$45,455 "
Brazoria County,Alvin ISD,962,Rural,96.6,"$74,510 "
Brazoria County,Angleton ISD,932,Rural,97.3,"$74,510 "
Brazoria County,Danbury ISD,953,Other Central City Suburban,95.9,"$74,510 "
Brazoria County,Brazosport ISD,988,Non-metropolitan Stable,89.4,"$74,510 "
Brazoria County,Sweeny ISD,983,Independent Town,97.6,"$74,510 "
Brazoria County,Columbia-Brazoria ISD,908,Rural,91.5,"$74,510 "
Brazoria County,Pearland ISD,1054,Rural,99,"$74,510 "
Brazos County,College Station ISD,1081,Rural,93.1,"$42,279 "
Brazos County,Bryan ISD,937,Rural,82.7,"$42,279 "
Brewster County,Alpine ISD,1000,Non-metropolitan Stable,100,"$43,055 "
Brewster County,Marathon ISD,945,Other Central City Suburban,95.7,"$43,055 "
Briscoe County,Silverton ISD,983,Rural,100,"$43,376 "
Brooks County,Brooks County ISD,NAN,Rural,100,"$27,703 "
Brown County,Bangs ISD,993,Other Central City Suburban,87.9,"$43,770 "
Brown County,Brownwood ISD,922,Independent Town,97.4,"$43,770 "
Brown County,Blanket ISD,NAN,Other Central City Suburban,94.7,"$43,770 "
Brown County,May ISD,1023,Independent Town,100,"$43,770 "
Brown County,Zephyr ISD,1035,Rural,100,"$43,770 "
Brown County,Brookesmith ISD,905,Non-metropolitan Stable,100,"$43,770 "
Brown County,Early ISD,1063,Rural,100,"$43,770 "
Burleson County,Caldwell ISD,983,Other Central City Suburban,98.8,"$48,533 "
Burleson County,Somerville ISD,849,Rural,95.8,"$48,533 "
Burleson County,Snook ISD,1057,Rural,87.5,"$48,533 "
Burnet County,Burnet CISD,917,Other Central City,87.2,"$55,919 "
Burnet County,Marble Falls ISD,991,Other Central City Suburban,95.9,"$55,919 "
Caldwell County,Lockhart ISD,859,Non-metropolitan Stable,91.6,"$49,598 "
Caldwell County,Luling ISD,898,Other Central City Suburban,91.2,"$49,598 "
Caldwell County,Prairie Lea ISD,917,Other Central City Suburban,94.4,"$49,598 "
Calhoun County,Calhoun County ISD,995,Non-metropolitan Stable,85.7,"$52,916 "
Callahan County,Cross Plains ISD,NAN,Other Central City Suburban,93.5,"$45,727 "
Callahan County,Clyde CISD,945,Rural,100,"$45,727 "
Callahan County,Eula ISD,945,Non-metropolitan Stable,98.9,"$45,727 "
Cameron County,University Of Texas At Brownsville,1101,Non-metropolitan Stable,85,"$36,587 "
Cameron County,Brownsville ISD,844,Non-metropolitan Stable,100,"$36,587 "
Cameron County,Harlingen CISD,910,Rural,91.7,"$36,587 "
Cameron County,La Feria ISD,925,Rural,90.6,"$36,587 "
Cameron County,Los Fresnos CISD,895,Rural,92.2,"$36,587 "
Cameron County,Point Isabel ISD,881,Independent Town,92.2,"$36,587 "
Cameron County,Rio Hondo ISD,844,Rural,93.2,"$36,587 "
Cameron County,San Benito CISD,856,Independent Town,97,"$36,587 "
Cameron County,Santa Maria ISD,732,Rural,91.8,"$36,587 "
Cameron County,South Texas ISD,1048,Rural,92.2,"$36,587 "
Camp County,Pittsburg ISD,911,Non-metropolitan Stable,95.9,"$41,937 "
Carson County,White Deer ISD,NAN,Rural,99.3,"$62,573 "
Cass County,Atlanta ISD,995,Other Central City Suburban,98.3,"$40,597 "
Cass County,Avinger ISD,NAN,Rural,100,"$40,597 "
Cass County,Hughes Springs ISD,1135,Rural,100,"$40,597 "
Cass County,Linden-Kildare CISD,NAN,Other Central City Suburban,100,"$40,597 "
Cass County,Queen City ISD,1067,Other Central City Suburban,96.4,"$40,597 "
Castro County,Dimmitt ISD,1183,Independent Town,100,"$45,229 "
Chambers County,Anahuac ISD,894,Rural,97.4,"$80,279 "
Chambers County,Barbers Hill ISD,1038,Independent Town,98.4,"$80,279 "
Chambers County,East Chambers ISD,910,Non-metropolitan Stable,90.5,"$80,279 "
Cherokee County,Alto ISD,901,Rural,100,"$39,407 "
Cherokee County,Jacksonville ISD,1047,Rural,100,"$39,407 "
Cherokee County,Rusk ISD,1031,Non-metropolitan Stable,100,"$39,407 "
Cherokee County,New Summerfield ISD,1067,Other Central City Suburban,91.7,"$39,407 "
Cherokee County,Wells ISD,847,Rural,100,"$39,407 "
Childress County,Childress ISD,NAN,Rural,96.7,"$39,140 "
Clay County,Henrietta ISD,1004,Rural,99.4,"$49,171 "
Clay County,Petrolia ISD,943,Rural,99,"$49,171 "
Clay County,Bellevue ISD,966,Rural,93.9,"$49,171 "
Cochran County,Morton ISD,NAN,Rural,86.6,"$39,900 "
Cochran County,Whiteface CISD,960,Rural,92.7,"$39,900 "
Coke County,Robert Lee ISD,NAN,Non-metropolitan Stable,95.1,"$41,529 "
Coleman County,Coleman ISD,1057,Rural,94.4,"$42,258 "
Coleman County,Santa Anna ISD,833,Rural,91.4,"$42,258 "
Coleman County,Panther Creek CISD,NAN,Other Central City Suburban,97.3,"$42,258 "
Collin County,Allen ISD,1113,Non-metropolitan Fast Growing,100,"$90,382 "
Collin County,Anna ISD,990,Non-metropolitan Fast Growing,100,"$90,382 "
Collin County,Celina ISD,1088,Non-metropolitan Stable,100,"$90,382 "
Collin County,Farmersville ISD,933,Other Central City,100,"$90,382 "
Collin County,Frisco ISD,1085,Other Central City Suburban,100,"$90,382 "
Collin County,McKinney ISD,1066,Non-metropolitan Fast Growing,100,"$90,382 "
Collin County,Melissa ISD,1068,Major Suburban,95.7,"$90,382 "
Collin County,Plano ISD,1156,Non-metropolitan Fast Growing,87.5,"$90,382 "
Collin County,Princeton ISD,943,Other Central City Suburban,100,"$90,382 "
Collin County,Prosper ISD,1064,Other Central City Suburban,85.7,"$90,382 "
Collin County,Wylie ISD,1001,Rural,97.8,"$90,382 "
Collin County,Blue Ridge ISD,1066,Non-metropolitan Stable,96.3,"$90,382 "
Collin County,Community ISD,923,Non-metropolitan Stable,98.3,"$90,382 "
Collin County,Lovejoy ISD,1134,Rural,92.6,"$90,382 "
Collingsworth County,Wellington ISD,915,Non-metropolitan Stable,98.2,"$37,389 "
Colorado County,Columbus ISD,930,Non-metropolitan Stable,98.2,"$48,161 "
Colorado County,Rice CISD,965,Rural,99.2,"$48,161 "
Colorado County,Weimar ISD,958,Other Central City,95.9,"$48,161 "
Comal County,Trinity Charter School,780,Major Suburban,95.3,"$76,296 "
Comal County,New Braunfels ISD,1023,Non-metropolitan Stable,99.1,"$76,296 "
Comal County,Comal ISD,1009,Rural,96.2,"$76,296 "
Comanche County,Comanche ISD,949,Rural,97.7,"$40,052 "
Comanche County,De Leon ISD,970,Rural,95.7,"$40,052 "
Comanche County,Gustine ISD,872,Rural,99,"$40,052 "
Comanche County,Sidney ISD,NAN,Rural,100,"$40,052 "
Concho County,Paint Rock ISD,1075,Independent Town,92.9,"$39,622 "
Cooke County,Gainesville ISD,943,Rural,95.8,"$59,243 "
Cooke County,Muenster ISD,1077,Non-metropolitan Fast Growing,95.2,"$59,243 "
Cooke County,Valley View ISD,976,Non-metropolitan Stable,0,"$59,243 "
Cooke County,Callisburg ISD,947,Rural,96,"$59,243 "
Cooke County,Era ISD,1014,Rural,97.1,"$59,243 "
Cooke County,Lindsay ISD,1033,Rural,100,"$59,243 "
Coryell County,Gatesville ISD,1039,Rural,97.3,"$50,122 "
Coryell County,Oglesby ISD,979,Independent Town,93.8,"$50,122 "
Coryell County,Jonesboro ISD,997,Other Central City Suburban,100,"$50,122 "
Coryell County,Copperas Cove ISD,956,Rural,100,"$50,122 "
Crane County,Crane ISD,920,Rural,100,"$57,408 "
Crockett County,Crockett County Consolidated CSD,865,Other Central City Suburban,94.2,"$46,556 "
Crosby County,Ralls ISD,918,Rural,100,"$35,136 "
Dallam County,Dalhart ISD,1013,Other Central City Suburban,100,"$48,470 "
Dallas County,Pegasus School Of Liberal Arts And,815,Rural,97.4,"$54,429 "
Dallas County,Uplift Education - North Hills Pre,1198,Rural,94.9,"$54,429 "
Dallas County,Texans Can Academies,741,Rural,100,"$54,429 "
Dallas County,Advantage Academy,818,Rural,100,"$54,429 "
Dallas County,Life School,875,Non-metropolitan Stable,96.8,"$54,429 "
Dallas County,Universal Academy,877,Rural,85.7,"$54,429 "
Dallas County,Faith Family Academy Of Oak Cliff,782,Major Suburban,92.9,"$54,429 "
Dallas County,Focus Learning Academy,774,Major Suburban,92.2,"$54,429 "
Dallas County,Winfree Academy Charter Schools,918,Major Urban,100,"$54,429 "
Dallas County,A+ Academy,811,Major Suburban,90.7,"$54,429 "
Dallas County,Gateway Charter Academy,727,Major Suburban,88.2,"$54,429 "
Dallas County,Alpha Charter School,575,Major Suburban,96.8,"$54,429 "
Dallas County,Evolution Academy Charter School,916,Major Suburban,95,"$54,429 "
Dallas County,Uplift Education - Peak Preparator,893,Major Suburban,93.9,"$54,429 "
Dallas County,Richland Collegiate High School,1067,Major Suburban,100,"$54,429 "
Dallas County,Uplift Education - Williams Prepar,941,Major Suburban,99.1,"$54,429 "
Dallas County,Uplift Education - Hampton Prepara,865,Major Suburban,100,"$54,429 "
Dallas County,International Leadership Of Texas,NAN,Major Suburban,100,"$54,429 "
Dallas County,Carrollton-Farmers Branch ISD,984,Non-metropolitan Fast Growing,98.1,"$54,429 "
Dallas County,Cedar Hill ISD,905,Major Suburban,50.9,"$54,429 "
Dallas County,Dallas ISD,799,Rural,100,"$54,429 "
Dallas County,Desoto ISD,821,Rural,97.9,"$54,429 "
Dallas County,Duncanville ISD,878,Non-metropolitan Stable,100,"$54,429 "
Dallas County,Garland ISD,957,Rural,0,"$54,429 "
Dallas County,Grand Prairie ISD,824,Other Central City Suburban,97.6,"$54,429 "
Dallas County,Highland Park ISD,1212,Rural,100,"$54,429 "
Dallas County,Irving ISD,840,Rural,27,"$54,429 "
Dallas County,Lancaster ISD,793,Rural,95.8,"$54,429 "
Dallas County,Mesquite ISD,899,Other Central City,96.7,"$54,429 "
Dallas County,Richardson ISD,1039,Major Suburban,58.9,"$54,429 "
Dallas County,Sunnyvale ISD,1064,Other Central City Suburban,29.9,"$54,429 "
Dallas County,Coppell ISD,1155,Other Central City Suburban,98.9,"$54,429 "
Dawson County,Lamesa ISD,836,Other Central City Suburban,94.3,"$41,073 "
Deaf Smith County,Hereford ISD,1095,Other Central City Suburban,92.5,"$43,944 "
Delta County,Cooper ISD,919,Other Central City Suburban,87.9,"$41,266 "
Denton County,University Of North Texas,1434,Other Central City Suburban,82.8,"$80,841 "
Denton County,Texas Education Centers,935,Other Central City Suburban,87.4,"$80,841 "
Denton County,Denton ISD,1000,Other Central City Suburban,91.7,"$80,841 "
Denton County,Lewisville ISD,1090,Other Central City Suburban,87.2,"$80,841 "
Denton County,Pilot Point ISD,980,Non-metropolitan Stable,97.2,"$80,841 "
Denton County,Krum ISD,975,Rural,93.7,"$80,841 "
Denton County,Ponder ISD,1049,Non-metropolitan Stable,98.2,"$80,841 "
Denton County,Aubrey ISD,1004,Rural,91,"$80,841 "
Denton County,Sanger ISD,973,Rural,91.2,"$80,841 "
Denton County,Argyle ISD,1107,Rural,98.1,"$80,841 "
Denton County,Northwest ISD,1030,Rural,99.7,"$80,841 "
Denton County,Lake Dallas ISD,1008,Rural,100,"$80,841 "
Denton County,Little Elm ISD,933,Other Central City Suburban,100,"$80,841 "
Dewitt County,Cuero ISD,905,Rural,95.6,"$46,915 "
Dewitt County,Nordheim ISD,883,Rural,100,"$46,915 "
Dewitt County,Yoakum ISD,1077,Rural,91.8,"$46,915 "
Dewitt County,Yorktown ISD,863,Non-metropolitan Stable,96.3,"$46,915 "
Dickens County,Spur ISD,NAN,Rural,93.8,"$38,239 "
Dimmit County,Carrizo Springs CISD,825,Rural,95.8,"$38,275 "
Duval County,San Diego ISD,862,Non-metropolitan Stable,96.6,"$34,777 "
Eastland County,Cisco ISD,1051,Rural,100,"$37,789 "
Eastland County,Eastland ISD,957,Rural,95.5,"$37,789 "
Eastland County,Gorman ISD,833,Rural,97,"$37,789 "
Eastland County,Ranger ISD,987,Other Central City,98,"$37,789 "
Eastland County,Rising Star ISD,NAN,Rural,97,"$37,789 "
Ector County,Ector County ISD,909,Rural,99.4,"$53,474 "
El Paso County,Burnham Wood Charter School Distri,960,Major Suburban,93.9,"$42,048 "
El Paso County,Paso Del Norte Academy Charter Dis,671,Major Urban,91.7,"$42,048 "
El Paso County,El Paso Academy,854,Non-metropolitan Stable,100,"$42,048 "
El Paso County,Harmony Science Acad (El Paso),976,Major Suburban,85.2,"$42,048 "
El Paso County,Clint ISD,785,Major Urban,89.1,"$42,048 "
El Paso County,El Paso ISD,855,Rural,98.7,"$42,048 "
El Paso County,Fabens ISD,806,Major Suburban,94.4,"$42,048 "
El Paso County,San Elizario ISD,804,Non-metropolitan Stable,92.3,"$42,048 "
El Paso County,Ysleta ISD,814,Major Urban,94.4,"$42,048 "
El Paso County,Anthony ISD,974,Rural,100,"$42,048 "
El Paso County,Canutillo ISD,874,Non-metropolitan Stable,87.6,"$42,048 "
El Paso County,Tornillo ISD,797,Independent Town,92.3,"$42,048 "
El Paso County,Socorro ISD,891,Rural,100,"$42,048 "
Ellis County,Waxahachie Faith Family Academy,860,Rural,93.5,"$69,448 "
Ellis County,Avalon ISD,942,Other Central City,98.4,"$69,448 "
Ellis County,Ennis ISD,959,Major Suburban,89.3,"$69,448 "
Ellis County,Ferris ISD,896,Rural,88.9,"$69,448 "
Ellis County,Italy ISD,1057,Other Central City,100,"$69,448 "
Ellis County,Midlothian ISD,1040,Rural,98,"$69,448 "
Ellis County,Palmer ISD,911,Other Central City Suburban,96.7,"$69,448 "
Ellis County,Red Oak ISD,937,Other Central City,93.3,"$69,448 "
Ellis County,Waxahachie ISD,1000,Other Central City,100,"$69,448 "
Ellis County,Maypearl ISD,1029,Other Central City Suburban,84.7,"$69,448 "
Erath County,Premier High Schools,896,Rural,91.1,"$43,787 "
Erath County,Erath Excels Academy Inc,903,Rural,100,"$43,787 "
Erath County,Dublin ISD,936,Rural,93.9,"$43,787 "
Erath County,Stephenville ISD,1019,Rural,95.5,"$43,787 "
Erath County,Huckabay ISD,940,Non-metropolitan Stable,97.7,"$43,787 "
Erath County,Lingleville ISD,891,Rural,91.6,"$43,787 "
Falls County,Chilton ISD,950,Rural,100,"$38,559 "
Falls County,Marlin ISD,840,Independent Town,98.5,"$38,559 "
Falls County,Rosebud-Lott ISD,839,Rural,97.1,"$38,559 "
Fannin County,Bonham ISD,959,Rural,88.9,"$46,347 "
Fannin County,Ector ISD,953,Rural,97.6,"$46,347 "
Fannin County,Honey Grove ISD,995,Rural,100,"$46,347 "
Fannin County,Leonard ISD,958,Rural,48.1,"$46,347 "
Fannin County,Savoy ISD,1019,Rural,49.6,"$46,347 "
Fannin County,Trenton ISD,1116,Rural,100,"$46,347 "
Fannin County,Sam Rayburn ISD,995,Rural,91.8,"$46,347 "
Fayette County,Flatonia ISD,971,Independent Town,83.6,"$53,776 "
Fayette County,La Grange ISD,1008,Rural,83,"$53,776 "
Fayette County,Schulenburg ISD,1007,Rural,89.5,"$53,776 "
Fayette County,Fayetteville ISD,1053,Rural,89.8,"$53,776 "
Fayette County,Round Top-Carmine ISD,1006,Rural,86.8,"$53,776 "
Fisher County,Roby CISD,NAN,Rural,91,"$46,247 "
Fisher County,Rotan ISD,NAN,Rural,96.2,"$46,247 "
Floyd County,Floydada ISD,755,Rural,90.6,"$40,536 "
Floyd County,Lockney ISD,935,Rural,53.6,"$40,536 "
Foard County,Crowell ISD,NAN,Other Central City,75,"$36,056 "
Fort Bend County,Lamar CISD,990,Other Central City Suburban,100,"$90,972 "
Fort Bend County,Needville ISD,1007,Major Suburban,95.2,"$90,972 "
Fort Bend County,Fort Bend ISD,1026,Non-metropolitan Stable,100,"$90,972 "
Fort Bend County,Stafford MSD,854,Non-metropolitan Stable,100,"$90,972 "
Franklin County,Mount Vernon ISD,1115,Non-metropolitan Stable,90.5,"$44,202 "
Freestone County,Fairfield ISD,969,Rural,84.5,"$45,681 "
Freestone County,Teague ISD,938,Rural,91.1,"$45,681 "
Freestone County,Wortham ISD,970,Non-metropolitan Stable,98.3,"$45,681 "
Frio County,Dilley ISD,857,Non-metropolitan Stable,100,"$39,193 "
Frio County,Pearsall ISD,912,Rural,95,"$39,193 "
