County,Graduation,Income,SAT
Anderson,95.8142857142857,"$43,967 ",955.8571428571429
Andrews,95.44999999999999,"$60,644 ",977.0
Angelina,95.12142857142855,"$43,658 ",956.1428571428571
Aransas,87.75,"$44,866 ",946.0
Archer,99.26666666666667,"$58,928 ",1017.0
Armstrong,100.0,"$54,868 ",945.0
Atascosa,92.21,"$53,622 ",896.0
Austin,95.10000000000001,"$55,973 ",966.0
Bailey,98.8,"$40,536 ",980.0
Bandera,95.375,"$55,885 ",1035.0
Bastrop,93.64999999999999,"$56,449 ",929.0
Baylor,95.0,"$36,616 ",
Bee,88.5,"$40,753 ",936.3333333333334
Bell,89.125,"$51,993 ",971.9090909090909
Bexar,88.3,"$53,170 ",889.0
Blanco,96.55,"$57,634 ",961.5
Borden,100.0,"$60,306 ",
Bosque,94.60625000000002,"$47,636 ",932.5
Bowie,95.68333333333332,"$45,455 ",1129.1666666666667
Brazoria,94.66428571428571,"$74,510 ",968.5714285714286
Brazos,86.175,"$42,279 ",1009.0
Brewster,98.56666666666666,"$43,055 ",972.5
Briscoe,95.85,"$43,376 ",983.0
Brooks,86.45,"$27,703 ",
Brown,98.58571428571427,"$43,770 ",990.1666666666666
Burleson,89.80000000000001,"$48,533 ",963.0
Burnet,93.35,"$55,919 ",954.0
Caldwell,89.98333333333333,"$49,598 ",891.3333333333334
Calhoun,92.55,"$52,916 ",995.0
Callahan,95.35,"$45,727 ",945.0
Cameron,93.07500000000002,"$36,587 ",903.6
Camp,97.5,"$41,937 ",911.0
Carson,99.35000000000001,"$62,573 ",
Cass,97.24285714285713,"$40,597 ",1065.6666666666667
Castro,97.23333333333333,"$45,229 ",1183.0
Chambers,98.25,"$80,279 ",947.3333333333334
Cherokee,92.34,"$39,407 ",978.6
Childress,90.75,"$39,140 ",
Clay,99.325,"$49,171 ",971.0
Cochran,100.0,"$39,900 ",960.0
Coke,95.925,"$41,529 ",
Coleman,91.06666666666666,"$42,258 ",945.0
Collin,96.80357142857142,"$90,382 ",1045.0
Collingsworth,98.9,"$37,389 ",915.0
Colorado,94.63333333333334,"$48,161 ",951.0
Comal,63.53333333333334,"$76,296 ",937.3333333333334
Comanche,97.775,"$40,052 ",930.3333333333334
Concho,100.0,"$39,622 ",1075.0
Cooke,97.69999999999999,"$59,243 ",998.3333333333334
Coryell,93.45,"$50,122 ",992.75
Cottle,100.0,"$34,605 ",
Crane,90.7,"$57,408 ",920.0
Crockett,88.2,"$46,556 ",865.0
Crosby,95.23333333333333,"$35,136 ",918.0
Culberson,98.75,"$36,663 ",
Dallam,99.325,"$48,470 ",1013.0
Dallas,83.8,"$54,429 ",895.5806451612904
Dawson,98.7875,"$41,073 ",836.0
Deaf Smith,90.65,"$43,944 ",1095.0
Delta,94.60000000000001,"$41,266 ",919.0
Denton,96.0409090909091,"$80,841 ",1039.8461538461538
Dickens,96.65,"$38,239 ",
Dimmit,83.80000000000001,"$38,275 ",825.0
Donley,92.8,"$38,777 ",
Duval,91.01666666666667,"$34,777 ",862.0
Eastland,95.1,"$37,789 ",957.0
Ector,85.8,"$53,474 ",909.0
Edwards,96.15,"$36,539 ",
El Paso,83.94615384615385,"$42,048 ",850.8461538461538
Ellis,95.29545454545455,"$69,448 ",963.1
Erath,86.5,"$43,787 ",930.8333333333334
Falls,88.2,"$38,559 ",876.3333333333334
Fannin,96.49374999999998,"$46,347 ",999.2857142857143
Fayette,97.38,"$53,776 ",1009.0
Fisher,98.75,"$46,247 ",
Floyd,95.67500000000001,"$40,536 ",845.0
Foard,100.0,"$36,056 ",
Fort Bend,92.32499999999999,"$90,972 ",969.25
Franklin,99.45,"$44,202 ",1115.0
Freestone,95.39999999999999,"$45,681 ",959.0
Frio,87.60000000000001,"$39,193 ",884.5
Gaines,93.66666666666667,"$51,910 ",908.0
Galveston,92.14375000000001,"$64,155 ",906.6
Garza,84.15,"$44,210 ",
Gillespie,96.15,"$58,787 ",976.0
Glasscock,100.0,"$71,360 ",
Goliad,99.0,"$55,264 ",935.0
Gonzales,85.05,"$45,491 ",879.0
Gray,98.36666666666667,"$47,828 ",941.0
Grayson,96.6125,"$51,808 ",1016.3636363636364
Gregg,94.13125,"$45,594 ",982.625
Grimes,92.27500000000002,"$50,891 ",964.5
Guadalupe,95.6375,"$67,683 ",964.75
Hale,95.24,"$40,152 ",1043.5
Hall,100.0,"$30,971 ",
Hamilton,98.69999999999999,"$45,718 ",986.0
Hansford,98.55,"$57,832 ",1142.5
Hardeman,96.9,"$35,521 ",927.0
Hardin,95.74000000000001,"$60,692 ",948.6
Harris,87.19032258064512,"$56,415 ",896.3714285714286
Harrison,95.48999999999998,"$47,181 ",952.0
Hartley,94.45,"$70,121 ",
Haskell,97.35000000000001,"$34,653 ",
Hays,91.86,"$64,864 ",1019.8
Hemphill,85.19999999999999,"$74,856 ",1017.0
Henderson,95.5,"$43,425 ",960.6666666666666
Hidalgo,90.23611111111111,"$35,928 ",908.7647058823529
Hill,95.57272727272725,"$47,338 ",952.875
Hockley,93.47500000000001,"$46,856 ",1009.6
Hood,98.2,"$57,346 ",1021.6666666666666
Hopkins,96.44285714285715,"$46,582 ",943.75
Houston,94.00999999999999,"$34,587 ",884.8
Howard,93.66666666666667,"$51,863 ",1026.0
Hudspeth,97.13333333333333,"$35,252 ",854.5
Hunt,95.17499999999998,"$51,827 ",962.7
Hutchinson,95.75,"$53,936 ",934.5
Irion,100.0,"$67,249 ",1128.0
Jack,98.31666666666666,"$46,975 ",950.6666666666666
Jackson,96.18333333333334,"$53,143 ",985.0
Jasper,97.71,"$44,909 ",992.4
Jeff Davis,100.0,"$46,688 ",892.0
Jefferson,90.99375,"$46,198 ",911.8888888888889
Jim Hogg,84.8,"$33,784 ",
Jim Wells,88.575,"$40,056 ",966.6666666666666
Johnson,93.96666666666667,"$59,809 ",960.2222222222222
Jones,96.24000000000001,"$40,931 ",980.25
Karnes,95.475,"$47,608 ",911.3333333333334
Kaufman,91.53571428571429,"$62,363 ",941.5714285714286
Kendall,88.10000000000001,"$83,805 ",1010.5
Kent,90.0,"$45,123 ",
Kerr,94.64999999999999,"$50,461 ",933.0
Kimble,98.1,"$40,118 ",859.0
King,100.0,"$59,142 ",
Kinney,93.0,"$40,612 ",934.0
Kleberg,91.56666666666666,"$44,106 ",900.3333333333334
Knox,97.9,"$37,586 ",
La Salle,87.6,"$39,926 ",836.0
Lamar,96.04999999999998,"$41,887 ",978.5
Lamb,97.63999999999999,"$37,846 ",884.0
Lampasas,98.6,"$52,637 ",911.5
Lavaca,96.66666666666667,"$48,975 ",999.0
Lee,97.03333333333335,"$51,768 ",985.3333333333334
Leon,97.72,"$44,891 ",873.4
Liberty,93.86666666666666,"$48,592 ",896.1666666666666
Limestone,92.25,"$39,382 ",848.0
Lipscomb,97.3,"$54,180 ",
Live Oak,91.14999999999999,"$51,953 ",975.5
Llano,100.0,"$48,135 ",1011.0
Lubbock,93.35000000000001,"$48,587 ",959.1
Lynn,100.0,"$39,869 ",901.6666666666666
Madison,83.60000000000001,"$42,429 ",907.0
Marion,94.30000000000001,"$34,919 ",
Martin,97.6,"$58,760 ",1072.5
Mason,100.0,"$44,818 ",949.0
Matagorda,92.2625,"$46,324 ",955.25
Maverick,87.30000000000001,"$35,654 ",872.0
McCulloch,94.06666666666666,"$40,125 ",882.0
McLennan,95.82894736842107,"$46,662 ",973.0526315789474
McMullen,100.0,"$67,249 ",1016.0
Medina,91.84,"$51,304 ",976.8
Menard,94.7,"$34,839 ",
Midland,91.475,"$68,729 ",976.0
Milam,94.97,"$42,302 ",970.2
Mills,95.7,"$43,540 ",1015.5
Mitchell,94.76666666666667,"$41,262 ",1040.0
Montague,97.23333333333333,"$46,237 ",995.6
Montgomery,93.10000000000001,"$72,506 ",990.3333333333334
Moore,97.39999999999999,"$52,344 ",984.5
Morris,95.875,"$38,255 ",910.0
Motley,100.0,"$37,464 ",967.0
Nacogdoches,95.03750000000001,"$38,099 ",989.7142857142857
Navarro,97.72142857142856,"$44,111 ",908.5714285714286
Newton,92.26666666666667,"$41,388 ",945.5
Nolan,97.48750000000001,"$40,969 ",1042.6666666666667
Nueces,87.71818181818182,"$53,562 ",956.8
Ochiltree,91.1,"$61,194 ",865.0
Oldham,100.0,"$54,212 ",949.0
Orange,91.43999999999998,"$53,611 ",934.8
Palo Pinto,96.66,"$43,589 ",927.0
Panola,92.07499999999999,"$47,780 ",975.75
Parker,95.39375000000003,"$67,735 ",992.7142857142857
Parmer,97.325,"$48,344 ",1080.0
Pecos,95.56666666666668,"$45,414 ",929.3333333333334
Polk,94.75833333333333,"$43,014 ",849.1666666666666
Potter,96.61250000000001,"$41,563 ",972.0
Presidio,93.07499999999999,"$32,742 ",793.0
Rains,92.0,"$47,354 ",1029.0
Randall,96.85,"$65,795 ",1035.0
Reagan,96.44999999999999,"$67,308 ",1045.0
Real,68.55,"$36,744 ",1160.0
Red River,97.50000000000001,"$36,352 ",964.0
Reeves,97.875,"$40,092 ",887.0
Refugio,97.3,"$45,366 ",1001.0
Roberts,100.0,"$75,816 ",
Robertson,97.22,"$42,680 ",925.75
Rockwall,95.275,"$97,484 ",1000.5
Runnels,98.2,"$40,112 ",1014.6666666666666
Rusk,94.06875000000002,"$46,421 ",922.4
Sabine,92.75,"$38,451 ",917.5
San Augustine,95.1,"$36,426 ",895.5
San Jacinto,90.6,"$45,794 ",906.5
San Patricio,93.50000000000001,"$51,667 ",922.8571428571429
San Saba,95.38333333333333,"$39,995 ",984.3333333333334
Schleicher,97.7,"$47,258 ",915.0
Scurry,96.66666666666667,"$50,316 ",792.0
Shackelford,87.2,"$55,403 ",987.5
Shelby,95.51,"$37,410 ",847.5
Sherman,95.8,"$55,761 ",
Smith,93.2,"$52,520 ",953.375
Somervell,84.45,"$56,944 ",921.5
Starr,93.46666666666665,"$26,691 ",942.5
Stephens,91.35,"$42,831 ",946.0
Sterling,95.2,"$60,577 ",
Stonewall,95.7,"$44,225 ",
Sutton,95.0,"$54,760 ",920.0
Swisher,92.80000000000001,"$38,790 ",1113.0
Tarrant,93.5236842105263,"$61,553 ",983.7391304347826
Taylor,89.72500000000001,"$48,215 ",1017.8
Terrell,90.0,"$41,114 ",
Terry,96.95,"$38,910 ",903.6666666666666
Throckmorton,96.15,"$42,876 ",923.0
Titus,94.75,"$45,324 ",937.5
Tom Green,94.72857142857143,"$48,221 ",1009.7142857142857
Travis,88.77083333333336,"$70,068 ",1028.8333333333333
Trinity,94.225,"$38,973 ",918.5
Tyler,93.89,"$43,617 ",958.0
Upshur,95.34285714285716,"$49,015 ",964.8333333333334
Upton,96.375,"$56,335 ",1055.0
Uvalde,89.22500000000001,"$36,913 ",936.25
Val Verde,93.05,"$42,104 ",1002.5
Van Zandt,91.6125,"$49,751 ",985.5714285714286
Victoria,84.45,"$53,659 ",903.5
Walker,64.68333333333334,"$42,709 ",932.3333333333334
Waller,94.28333333333335,"$56,407 ",838.6666666666666
Ward,98.125,"$63,809 ",965.0
Washington,95.475,"$53,157 ",987.0
Webb,87.775,"$36,718 ",868.0
Wharton,98.06,"$46,097 ",963.4
Wheeler,91.25,"$47,476 ",
Wichita,95.92,"$45,071 ",929.1666666666666
Wilbarger,96.78333333333335,"$40,955 ",1039.0
Willacy,89.95,"$31,225 ",863.75
Williamson,96.67500000000001,"$82,370 ",1003.3
Wilson,96.2625,"$66,045 ",947.25
Winkler,98.95,"$53,312 ",
Wise,97.92142857142858,"$57,609 ",959.2857142857143
Wood,96.99166666666667,"$47,260 ",955.6666666666666
Yoakum,96.55000000000001,"$57,114 ",1029.0
Young,95.3,"$52,133 ",1003.0
Zapata,90.95,"$34,136 ",917.0
Zavala,93.69999999999999,"$25,507 ",798.0
Dewitt,,"$46,915 ",932.0
Kenedy,,"$38,718 ",
Loving,,"$64,179 ",
